,code,outstanding,liquid_assets,totals,totalAssets,growth
140,002390,7.33,69.1219,17.05,10238352.6134,2.97
141,002393,1.82,65.7748,1.82,12245205.6116,11.43
142,600432,8.11,98.942,16.04,19810190.786,-50.25
143,000758,19.69,255.37930000000003,19.69,28938994.735000003,-30.99
144,300386,1.7,59.397999999999996,4.18,5934765.495399999,-35.69
145,600873,20.62,137.9478,31.08,11121076.342500001,4.48
146,600125,13.06,81.10260000000001,13.06,4426184.0826,68.92
147,603299,2.79,51.9498,5.59,8129968.485800001,-22.99
148,300136,7.23,198.82500000000002,9.61,7480863.774999999,4.65
149,300480,0.64,46.272,1.85,3627551.28,-64.44
150,000663,1.89,25.9308,3.41,5750373.5968,12.54
151,002286,2.61,30.876299999999997,3.69,2260721.5176,28.49
152,300168,10.09,236.2069,10.31,13855439.7908,-20.55
153,600809,8.66,136.395,8.66,11000793.195,95.75
154,002401,3.0,46.74,3.03,1771458.6198,15.15
155,000923,1.98,59.934599999999996,1.98,4189484.8421999994,-22.5
156,600479,3.05,38.796,3.49,3789117.0432,28.85
157,000509,8.25,68.64,8.25,426213.0496,-4.33
158,600711,14.57,100.8244,14.97,6669693.22,2.89
159,000513,2.36,97.0196,4.26,42798231.0709,39.04
160,300225,3.28,25.9776,4.7,852713.6112,52.78
161,600410,8.92,117.744,11.04,11784108.6,-19.62
162,002149,1.75,28.84,2.13,5898392.8912,75.06
163,002466,9.86,1273.4189999999999,9.94,117500565.3885,-71.98
164,002373,5.55,224.05349999999999,11.04,21872592.358099997,-65.05
165,601126,8.13,69.51150000000001,8.13,5077538.8245,31.58
166,000546,2.74,29.318,5.95,5327623.625,25.61
167,300162,2.22,52.9692,3.5,3867694.5471999994,-41.32
168,300034,4.18,80.8412,4.19,3272155.6806,5.69
169,000963,4.34,299.5034,4.86,97710189.34500001,11.87
170,600576,4.8,259.44,6.35,11048721.0135,-68.58
171,300406,2.06,81.57600000000001,5.0,5459693.976,-49.8
172,603311,0.93,17.911800000000003,2.1,1581552.234,42.83
173,600594,7.92,109.296,7.92,8922425.328000002,21.74
174,300015,7.87,239.7989,10.07,11838058.753399998,2.3
175,300432,1.45,40.1505,5.1,4220729.935500001,-21.09
176,002354,1.51,134.39000000000001,2.92,54217860.16,-26.57
177,300172,3.42,45.041399999999996,5.07,2215252.0797,-18.91
178,002127,9.68,131.4544,15.38,2464618.7188,-20.18
179,002155,9.96,87.84720000000002,12.02,5550948.585,34.58
180,300064,6.06,52.3584,12.05,3940002.5184000004,18.75
181,600345,1.98,33.7986,1.98,2983640.7192,32.57
182,601969,8.59,85.6423,19.55,6351823.4911,26.18
183,002620,0.94,28.5478,1.45,9847029.4017,54.89
184,002388,3.82,31.7442,4.0,912256.2603000001,64.14
185,603015,1.6,35.552,4.0,2957420.4506,-45.68
186,002195,10.46,253.132,19.33,16752052.152,-55.87
187,002706,2.28,108.3456,2.59,8864342.3088,-44.95
188,002562,3.24,76.8204,5.41,5195991.967,-40.62
189,002759,0.81,30.229200000000002,4.52,2451870.2591999997,-35.26
190,600103,10.62,51.1884,17.74,2528147.5508,17.22
191,300159,7.65,96.61950000000002,14.9,9905696.370000001,2.93
192,002603,8.94,113.6274,11.28,7917883.6248,38.0
193,300353,2.41,77.62610000000001,5.17,7459174.7287,-38.53
194,000426,11.48,189.53480000000002,18.69,7367082.459100001,-44.94
195,300167,3.0,42.54,3.0,1704625.4448,3.67
196,002174,3.08,257.73440000000005,8.61,37169400.800000004,-68.07
197,300045,3.57,81.5745,5.62,2708020.9075,-38.38
198,300452,0.42,33.243,0.93,3860345.7495000004,-54.3
199,002601,6.55,270.908,20.32,102918000.9,-65.45
200,300362,1.88,73.0192,4.35,13508520.539600002,-52.75
201,002632,5.53,66.4706,5.92,1906347.3590000002,-7.4
202,600079,10.58,189.38199999999998,12.86,45460701.599999994,6.87
203,300286,0.87,18.0177,1.43,1518231.2539,36.17
204,002412,2.87,46.2644,2.96,2227594.1064,11.66
205,000655,5.95,42.721,5.95,2477119.0988,46.24
206,600517,12.45,106.821,13.56,7966664.6202,14.34
207,300337,7.08,39.294,8.22,1405224.8685,76.94
208,002487,5.4,48.815999999999995,5.4,2365224.1536,15.04
209,002070,5.67,73.42649999999999,6.35,3549969.773,6.02
210,300181,3.99,33.915,6.09,1698875.365,3.88
211,002692,4.44,52.7028,7.18,3384849.1999999997,0.84
212,300183,2.58,47.446200000000005,4.53,4893549.7599,27.79
213,600130,7.68,50.5344,7.68,908028.1560000001,34.35
214,600660,20.03,262.99390000000005,25.09,37263793.45,45.7
215,600595,17.42,91.97760000000001,17.42,13935702.0,16.29
216,002592,1.29,39.0741,2.83,7568691.0325,-1.75
217,600848,4.0,87.4,11.2,16013705.2765,-4.44
218,002295,1.84,24.7112,2.52,1850370.8956000002,21.0
219,000009,21.2,258.216,21.49,23747070.488399997,-19.13
220,600422,6.81,173.17829999999998,7.89,13002537.01,-48.68
221,300047,2.62,33.536,3.58,3889959.168,20.08
222,300173,3.13,36.5897,5.86,2607945.7137999996,36.7
223,603308,4.0,104.64,4.34,14431495.970399998,-24.85
224,002738,1.01,25.4621,1.92,2154013.2401,8.09
225,002262,5.25,101.85,6.31,5591863.953999999,13.35
226,600586,14.23,56.0662,14.59,3672400.3614000003,25.38
227,300133,11.53,225.988,17.47,19918221.876000002,-41.73
228,002674,2.41,31.450500000000005,3.03,3704562.225,32.64
229,300326,5.82,124.4316,7.15,4501292.177599999,-51.4
230,300359,3.39,305.33729999999997,6.34,20958261.301299997,-78.99
231,002160,4.36,57.159600000000005,7.24,6920670.675,-28.3
232,002317,4.92,49.298399999999994,8.15,4186018.4261999996,28.24
233,603022,0.65,32.123000000000005,2.0,3455418.2306,-43.85
234,600093,3.22,36.5148,11.22,12305335.984199999,19.31
235,002237,8.16,82.9056,9.1,12084810.7808,13.58
236,002752,1.23,46.863,6.3,9096349.854,-45.75
237,300463,2.95,230.0705,5.58,20747491.7441,-72.27
238,603456,1.43,69.42649999999999,4.43,14659715.224,-61.19
239,603918,1.23,46.6785,1.76,2622358.662,-22.58
240,300314,1.89,47.6847,2.88,1991141.7603,-21.32
241,000510,5.63,34.7934,6.09,867773.5991999999,84.79
242,002021,5.68,42.599999999999994,6.88,1214348.325,31.2
243,600618,7.5,91.2,11.56,5931654.8096,13.82
244,002322,2.85,42.75,4.01,4616962.95,38.73
245,300494,0.86,56.975,2.4,5971776.9875,-57.6
246,002067,9.6,58.272,10.94,3373305.3800000004,14.5
247,002408,16.76,166.762,17.75,8311008.040499999,-0.2
248,300312,1.76,46.0768,3.2,4307732.5984000005,-35.83
249,000532,3.43,59.2361,3.45,2598525.7144,0.58
250,000998,9.56,164.5276,12.56,12964566.2948,14.64
251,300422,0.7,23.372999999999998,1.42,7532991.018,16.11
252,300458,0.7,57.967,1.67,20075729.3282,-11.97
253,600196,19.09,342.4746,24.15,75785915.4,45.15
254,300473,0.47,38.869,1.0,15830272.735,-25.07
255,300316,9.2,87.86,9.85,2513103.4145000004,27.75
256,000598,29.86,169.60479999999998,29.86,9297014.059999999,4.93
257,600184,4.19,87.44530000000002,5.09,7911843.713600001,19.36
